,id,tb_name,tb_size,tb_comment,last_partition,tbp_recently_count,tbp_recently_size
0,1,adm_hk_dp_api,322392,海口大屏api网关指标表,dt='20210531',8,1888
1,2,api_group_app,211409768,API网关大表,pt='20210606',2766,958240
2,3,api_group_app_extend,64133736,api网关大表扩展表,pt='20210606',2780,352296
3,4,api_log,0,,pt='20210606',0,0
4,5,api_namespace,900760,,pt='20210606',48,3824
5,6,api_registry,0,,pt='20210606',0,0
6,7,api_rule,0,,pt='20210606',0,0
7,8,ca_access_domain,541408,,pt='20210606',48,2496
8,9,ca_access_domain_dns,653280,,pt='20210606',34,2688
9,10,ca_access_ngx_group,271216,,pt='20210606',3,1072
10,11,ca_access_ngx_group_server_backup,0,,pt='20210606',0,0
11,12,ca_access_ngx_instance,398728,,pt='20210606',6,1576
12,13,ca_access_ngx_server_backup,0,,pt='20210606',0,0
13,14,ca_access_vip,305624,,pt='20210606',1,1208
14,15,ca_access_vip_app,680904,,pt='20210606',50,2824
15,16,ca_access_vip_app_whitelist,0,,pt='20210606',0,0
16,17,ca_access_vip_group,404800,,pt='20210606',5,1600
17,18,ca_api,22925672,,pt='20210606',2184,93872
18,19,ca_api_deployment,19714680,,pt='20210606',2535,81840
19,20,ca_api_extend,18430792,api信息扩展表,pt='20210606',2184,212944
20,21,ca_api_meta_history,142051184,,pt='20210606',2535,598768
21,22,ca_api_policy_relation,502952,,pt='20210606',9,2032
22,23,ca_api_sign_secret,471592,,pt='20210606',2,1864
23,24,ca_app,1356976,,pt='20210606',85,6136
24,25,ca_app_api_relation,11539432,,pt='20210606',2406,47144
25,26,ca_app_extend,2578696,api网关应用信息扩展表,pt='20210606',85,12744
26,27,ca_app_security,2040944,,pt='20210606',85,9488
27,28,ca_black_list,0,,pt='20210606',0,0
28,29,ca_consumer_open,0,,pt='20210606',0,0
29,30,ca_group,1223088,,pt='20210606',50,5184
30,31,ca_group_domain_relation,1008832,,pt='20210606',49,4544
31,32,ca_group_extend,1191856,api网关分组信息扩展表,pt='20210606',50,5888
32,33,ca_ip_control,471592,,pt='20210606',2,1864
33,34,ca_ip_control_item,0,,pt='20210606',0,0
34,35,ca_oms_log,0,,pt='20210606',0,0
35,36,ca_quota_log,0,,pt='20210606',0,0
36,37,ca_race_works,0,,pt='20210606',0,0
37,38,ca_request,0,,pt='20210606',0,0
38,39,ca_request_log,0,,pt='20210606',0,0
39,40,ca_service_meta_history,27973328,,pt='20210606',2535,116968
40,41,ca_ssl_certificate,0,,pt='20210606',0,0
41,42,ca_stage,1723840,,pt='20210606',150,7144
42,43,ca_stastic_config,0,,pt='20210606',0,0
43,44,ca_tag,0,,pt='20210606',0,0
44,45,ca_tag_api_relation,0,,pt='20210606',0,0
45,46,ca_traffic_control,544728,,pt='20210606',5,2216
46,47,ca_vpc_access,0,,pt='20210606',0,0
47,48,ocean_api_category,0,,pt='20210606',0,0
48,49,ocean_api_message_relation,0,,pt='20210606',0,0
49,50,ocean_api_meta,123982384,,pt='20210606',2119,515912
50,51,ocean_api_meta_draft,126646784,,pt='20210606',2184,531216
51,52,ocean_api_requirement_relation,0,,pt='20210606',0,0
52,53,ocean_audit_meta,0,,pt='20210606',0,0
53,54,ocean_auth_resource_scope,0,,pt='20210606',0,0
54,55,ocean_cert,0,,pt='20210606',0,0
55,56,ocean_cert_app_relation,0,,pt='20210606',0,0
56,57,ocean_data_authority,0,,pt='20210606',0,0
57,58,ocean_message_meta,0,,pt='20210606',0,0
58,59,ocean_message_meta_draft,0,,pt='20210606',0,0
59,60,ocean_plugin_config,0,,pt='20210606',0,0
60,61,ocean_plugin_config_draft,0,,pt='20210606',0,0
61,62,ocean_plugin_template,0,,pt='20210606',0,0
62,63,ocean_requirement_table,0,,pt='20210606',0,0
63,64,ocean_service_meta,33255880,,pt='20210606',4303,138432
64,65,ocean_svn_data,0,,pt='20210606',0,0
65,66,ocean_sys_meta,801504,,pt='20210606',5,3168
66,67,open_app,0,,pt='20210606',0,0
67,68,open_app_owner,0,,pt='20210606',0,0
